Company,Job Title,Location,job Description
Hirekar Solutions Private Limited,"Opening for Internal Recruiter - India, UK & USA",Bengaluru,"Dear All,
Job Summary: As an Internal Recruiter, you will be responsible for sourcing, recruiting, and hiring top talent to meet the needs of our organization. You will work closely with hiring managers and department heads to understand staffing needs, develop recruiting strategies, and attract qualified candidates. The ideal candidate will have a strong understanding of recruitment processes, excellent communication skills, and the ability to thrive in a fast-paced environment.
Responsibilities:
Collaborate with hiring managers to understand staffing needs and develop recruitment plans.
Source candidates through various channels, including job boards, social media, professional networks, and employee referrals.
Review resumes and credentials for appropriateness of skills, experience, and knowledge in relation to position requirements.
Conduct initial phone screens to assess candidate qualifications and fit for the position.
Coordinate and schedule interviews with hiring managers and team members.
Facilitate the interview process, including gathering feedback from interviewers and candidates.
Extend job offers and negotiate terms of employment.
Maintain accurate and up-to-date candidate records in the applicant tracking system (ATS).
Build and maintain relationships with candidates to ensure a positive candidate experience.
Assist with onboarding activities for new hires, as needed.
Stay up-to-date on recruiting trends and best practices to continuously improve recruitment processes
Job Types: Full-time, Permanent
Pay: From ₹25,000.00 per month
Benefits:
Cell phone reimbursement
Health insurance
Paid sick time
Paid time off
Provident Fund
Schedule:
Day shift
Monday to Friday
Supplemental pay types:
Performance bonus
Education:
Bachelor's (Preferred)
Experience:
total work: 1 year (Preferred)
Work Location: In person"
Xoxoday,Catalog Intern,Bengaluru,"About the Role:

Join the Catalog team at Xoxoday, where we're seeking a highly motivated and skilled individual to fill the position of Catalog Associate.
Proficiency in both written and verbal English is essential for success in this role.
As a Catalog Associate, you'll play a crucial role in conducting quality audits, recommending corrections with high confidence, and supporting product configurations within Xoxoday's catalog systems. Your ability to exercise human judgment on behalf of our customers will be instrumental. We're looking for someone with strong analytical and communication skills, exceptional attention to detail, and an unwavering commitment to excellence. In this role, you'll craft high-quality textual content for Xoxoday's products, enhancing the overall e-commerce buying experience for our customers.
Key Responsibilities:
Conduct product listing and audits for selection uploads across various categories.
Collaborate and communicate effectively with sellers/vendors and the category team to facilitate smooth data flow for all necessary selection attributes within the category.
Participate in identifying and rectifying catalog errors while investigating catalog-related complaints.
Work closely with product teams to configure catalog products effectively.
Meet catalog audit targets and generate reports on daily assigned tasks.
Provide training and mentorship to other associates.
Basic Qualifications:
Bachelor's degree.
Proficiency in Microsoft Office products and applications, especially Excel.
Preferred Experience:
0-1 year of experience in e-commerce business operations, supply logistics, and catalog associate roles
Must have experience with sellers/vendors and the category team to facilitate smooth data flow for all necessary selection attributes within the category.
What can you look for?
A wholesome opportunity in a fast-paced environment that will enable you to juggle between concepts, yet maintain quality content, interact and share your ideas and have loads of learning while at work. Work with a team of highly talented young professionals and enjoy the benefits of being at Xoxoday.
We are
‍A fast-growing SaaS commerce company based in Bangalore with offices in the USA, Dubai, Singapore, and London. We have three products in our portfolio: Plum, Empuls, and Compass. Xoxoday works with over 3000 global clients. We help our clients in engaging and motivate their employees, sales teams, channel partners, or consumers for better business results.
Way forward
‍We look forward to connecting with you. As you may take time to review this opportunity, we will wait for a reasonable time of around 3-5 days before we screen the collected applications and start lining up job discussions with the hiring manager. We however assure you that we will attempt to maintain a reasonable time window for successfully closing this requirement. The candidates will be kept informed and updated on the feedback and application status."
Wells Fargo,Operations Processor,Bengaluru,"About this role:

Wells Fargo is seeking a Operations Processor.

In this role, you will:
Perform moderately complex operations duties in support of either a service center or department environment
Require considerable knowledge of company personnel policies and practices
Collect data and prepare related operational reports
Prepare input forms for automated data processing system
Utilize the company's internal operations to perform duties
Coordinate projects
Furnish information to authorized persons
Provide guidance to all levels of employees regarding personnel policies and procedures requiring some policy interpretation
Operations Processor needs to review and verify the CIP, CDD and core elements of the customers against the various Identification proof submitted by the customer at the time of account opening, approved by the US government. Uses a variety of sources for information, including multiple online systems and more tools/models that are complex. Perform researches on cases using various applications like SOS, HOGAN, DIPR, LexisNexis and other Government websites. Have to understand the various system messages, account status closed, inactive, purged and dormant accounts. Understanding of the various valid identification proofs, business documents, Beneficiary ownership and ownership titles and information provided on the documents along with an understanding of the IRS Letter. Basis on these documentations provided and verification conducted by the analysts, should be able to make decisions of passing the case marking CIP Verification completed. Else, have to contact the Bankers / customers through automated systems and requesting for additional documentation for proofs to complete CIP. May identify control failures in the current processes, procedures or team member's decisions; take accountability for the action or the decisions made while reviewing the case. Complete the CIP process by following the departmental procedures and highlighting if any miss from bankers, customers or previous team members decisions
Reviewing incoming records to ensure records meet the requirements for the USA Patriot Act Section 326 - Customer Identification Program
Responsible for working on low/moderate/high complexity/priority cases, depending on the queue type and the complexity of the review
Reviewing the Core, CIP, CDD elements on the Universal Work Station and if required verify the data against the documents and regulatory comments provided by customer / banker at the time of account opening
Conduct research in various applications like HOGAN, DIPR, SOS, LexisNexis and other government sites to search for missing information
Identify missing information from Universal Workstation and if found in various applications / tools, use appropriate commands in HOGAN screen update the missing information correctly
Complete 40 hours of self-directed subject matter related training provided by the organization
Complete all Mandatory Trainings (Compliance) assigned on internal Develop You Tool before time and adhere to internal timelines
Assist new team members while on training phase
Partner with appropriate resources to seek out solutions to problems
Research and resolve problems within department SLAs
Perform duties and assignments within established timeframes, ensuring proper follow-up and completion
Must be flexible to work odd shifts as per the requirement from business
Ability to work overtime during peak volume times
Achieve / exceed the set productivity targets and Quality targets. Complete tasks within process specific TAT
Required Qualifications:
2+ years of operations support experience, or equivalent demonstrated through one or a combination of the following: work experience, training, military experience, education
Desired Qualifications:
Should be a graduate with 2+ years' of experience in one or a combination of the following: Financial services, criminal justice, fraud, Bank Secrecy Act, anti-money laundering, or investigations of financial crimes or policy violations; experience in the foregoing Operational Risk Management processes and / or Compliance or Audit Programs of a banking back office operations
Ability to identify ""high risk"" customers as defined by enterprise policies for risk rating customers
Ability to meet and often exceed established production standards
Ability to analyze and summarize large amounts of data
Understands and also tried to grasps the procedure of core processes/sub processes within the same LOB
Has a basic understanding of multiple processes within LOB
Examines and delivers as per the required quality, following the laid procedures, policies under guidance
Accurately process high volumes of work, within established deadlines
Displays understanding of process related metric
Possess basic domain knowledge
Communicate clearly and concisely
Strong communication skills and have the ability to conduct process trainings and provide floor support if required
Job Expectations:
Enterprise Operational Support is responsible for independent execution of risk mitigating and centralized operational processing in support of certain key regulations with enterprise-wide impact. Activity involved is Customer Data Management, validation of the CIP and CDD elements for both Individuals and entities to comply with the US Regulations - BSA, Anti-money Laundering and USA PATRIOT Act section 326.
Posting End Date:

*Job posting may come down early due to volume of applicants.

We Value Diversity

At Wells Fargo, we believe in diversity, equity and inclusion in the workplace; accordingly, we welcome applications for employment from all qualified candidates, regardless of race, color, gender, national origin, religion, age, sexual orientation, gender identity, gender expression, genetic information, individuals with disabilities, pregnancy, marital status, status as a protected veteran or any other status protected by applicable law.

Employees support our focus on building strong customer relationships balanced with a strong risk mitigating and compliance-driven culture which firmly establishes those disciplines as critical to the success of our customers and company. They are accountable for execution of all applicable risk programs (Credit, Market, Financial Crimes, Operational, Regulatory Compliance), which includes effectively following and adhering to applicable Wells Fargo policies and procedures, appropriately fulfilling risk and compliance obligations, timely and effective escalation and remediation of issues, and making sound risk decisions. There is emphasis on proactive monitoring, governance, risk identification and escalation, as well as making sound risk decisions commensurate with the business unit's risk appetite and all risk and compliance program requirements.

Candidates applying to job openings posted in US: All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, status as a protected veteran, or any other legally protected characteristic.

Candidates applying to job openings posted in Canada: Applications for employment are encouraged from all qualified candidates, including women, persons with disabilities, aboriginal peoples and visible minorities. Accommodation for applicants with disabilities is available upon request in connection with the recruitment process.

Applicants with Disabilities

To request a medical accommodation during the application or interview process, visit Disability Inclusion at Wells Fargo .

Drug and Alcohol Policy

Wells Fargo maintains a drug free workplace. Please see our Drug and Alcohol Policy to learn more."
Veradigm Asia,Quality Assurance Analyst (Remote),Bengaluru,"Welcome to Veradigm! Our Mission is to be the most trusted provider of innovative solutions that empower all stakeholders across the healthcare continuum to deliver world-class outcomes. Our Vision is a Connected Community of Health that spans continents and borders. With the largest community of clients in healthcare, Veradigm is able to deliver an integrated platform of clinical, financial, connectivity and information solutions to facilitate enhanced collaboration and exchange of critical patient information.

Veradigm
Veradigm is here to transform health, insightfully. Veradigm delivers a unique combination of point-of-care clinical and financial solutions, a commitment to open interoperability, a large and diverse healthcare provider footprint, along with industry proven expert insights. We are dedicated to simplifying the complicated healthcare system with next-generation technology and solutions, transforming healthcare from the point-of-patient care to everyday life.
For more information, please explore www.veradigm.com.
What will your job look like:
Position in a USA-based software company.
Opportunity to work with multi-national teams.
A stable organization with an attractive remuneration package.
Develop and implement testing patterns and best practices to ensure adequate test coverage across all our solutions.
Ensure the quality of the products complies with defined standards and the client's needs.
Identify technology limitations and deficiencies in existing systems and suggest the best solution.
Functional and Non-Functional Exploratory testing, Regression testing, Integration testing, UI/UX testing, Security testing, and Accessibility testing.
Develop detailed, comprehensive, and well-structured test plans and test cases.
Identify issues and write detailed bug reports during the development cycle.
Documenting all issues related to tests and test failure and sharing the results with the team.
Take complete ownership of client/project requirements.
Collaborate adequately with all team members in person or remotely to achieve tasks.
Participating in release planning and deployment activities to ensure that software releases meet quality standards and are delivered on schedule.
Prepare the end-user documentation, operational procedures, user manual, and training manual.
An Ideal Candidate will have:
Bachelor's degree in computer science engineering or equivalent
At least 3+ years
The applicants should have experience in the following business area(s):
Software Company
Age 22 Years
Great team player and able to work efficiently with minimal supervision.
Excellent analytical and problem-solving skills.
Aptitude for troubleshooting issues, diagnosing root causes of defects, and proposing practical solutions.
Should have strong communication and presentation skills.
Ability to communicate clearly and concisely, both verbally and written.
Must be proactive, hard worker, energetic & determined to meet deadlines.
Need to understand and convey the viewpoints of the Developers and the Stakeholders as a mediator.
Familiar with large database systems and able to use SQL language proficiently.
Knowledge of basic project management framework and methodology.
Knowledge of QA automation tools (i.e. Katalon Studio) is a strong plus.
Experience testing Web applications
Knowledge of US healthcare with relevant experience in Risk Adjustment, Quality, and RX.
Experience working in an Agile/Scrum environment.
Apart from the above, having the below skills would be an add-on: -
Contagious positivity
Natural curiosity
An ability to see the big picture.
Benefits:
Veradigm believes in empowering our associates with the tools and flexibility to bring the best version of themselves to work. Through our generous benefits package with an emphasis on work/life balance, we give our employees the opportunity to allow their careers to flourish.
Quarterly Company-Wide Recharge Days
Flexible Work Environment (Remote/Hybrid Options)
Peer-based incentive ""Cheer"" awards
""All in to Win"" bonus Program
Tuition Reimbursement Program
To know more about the benefits and culture at Veradigm, please visit the links mentioned below: -
https://veradigm.com/about-veradigm/careers/benefits/
https://veradigm.com/about-veradigm/careers/culture/
We are an Equal Opportunity Employer. No job applicant or employee shall receive less favorable treatment or be disadvantaged because of their gender, marital or family status, color, race, ethnic origin, religion, disability or age; nor be subject to less favorable treatment or be disadvantaged on any other basis prohibited by applicable law.
#LI-SM1 #LI-REMOTE

Veradigm is proud to be an equal opportunity workplace dedicated to pursuing and hiring a diverse and inclusive workforce.
Thank you for reviewing this opportunity! Does this look like a great match for your skill set? If so, please scroll down and tell us more about yourself!"
Finastra USA Corporation,Quality Engineer,Bengaluru,"Responsibilities:
Job Description
Plan, Design, Create & Execute test cases – for Loan IQ maintenance / new features
Work as part of Agile Team
Execute Regression test cases
Provide technical/Functional support to team
Responsible for providing regression signoff in patch/enhancement releases

Skills Required

Excellent software testing skills.
Excellent knowledge Banking/Finance domain
Good Knowledge Lending.
Knowledge in Loan IQ is preferred.
Working knowledge in Team Leading activities
Good communication skills.
Good in team leading.
Good in problem solving
Knowledge in Automation preferred

Desired Competencies
Requires expanded technical knowledge in own job discipline and broadens capabilities; has familiarity with product, applications and business requirements supported
Solves problems in straightforward situations; analyzes possible solutions using technical experience, judgement and precedents (e.g. creates test plans)
Uses prescribed guidelines or alternatives in analyzing situations
Understands key business drivers; uses this understanding to accomplish own work
Solves problems in straightforward situations where analysis of situations or data require a review of a variety of factors; exercises judgement within defined methods and practices to determine appropriate action
Gathers information and requirements in order to solve problems
Explains complex information to others; gathers and translates business requirements."
m360 Research,Patient Project Coordinator,Bengaluru,"Company Description

About m360 Research: m360 Research is a full-service market research agency specializing in the healthcare space. Our proprietary panels include over 1 million physicians across 75 specialties in addition to substantial communities of allied HCPs, and payers. Founded in 2004, with a strong provenance in technology and innovation, m360 is committed to high quality and actionable insights, underpinned by robust physician verification and ISO certification (9001, 20252, 27001). International fieldwork services are complemented by full service advanced analytics to power data-driven decision making.
About M3: m360 Research is a wholly owned subsidiary of M3, a Japanese global leader in the provision of ground-breaking and innovative technological and research solutions to the healthcare industry. The M3 Group operates in the US, Asia, and Europe with over 5.8 million physician members globally via its physician websites which include mdlinx.com, m3.com, research.m3.com, Doctors.net.uk, medigate.net, and medlive.cn. M3 Inc. is a publicly traded company on the Tokyo Stock Exchange (jp:2413, NIKKEI 225) with subsidiaries in major markets including the US, UK, Japan, South Korea, and China, and in 2020 was ranked in Forbes’ Global 2000 list. The M3 Group provides services to healthcare and the life science industry. In addition to market research, these services include medical education, ethical drug promotion, clinical development, job recruitment, and clinic appointment services. M3 has offices in Japan, UK, France, Germany, Brazil, Sweden, China, USA, and South Korea, as well as India.

Job Description

Job Description
Execute end to end project recruitment related tasks which could include (but not exclusively) audience set up, marketing campaigns, languages requests, and other strategies, as well as verification, scheduling, proof of condition, consent forms and other administrative requests.
Attend meetings with PMs regarding assigned projects to ensure project specifications, client needs, timelines, and responsibilities are understood.
Takes notes and fill checklists during kick off meetings and share them with the attendee afterwards.
Host market research pretest/pilot interviews for clients, and ensure interviews are conducted on time and as planned.
Proactively seek alternative fieldwork strategies and find solutions to address response rates and costs on each project.
Alert the Project Manager of a project when a fieldwork strategy is failing or getting off track or there is a quality concern and work together to find alternative solutions.
Design and request multichannel recruitment methodologies for allocated projects, which could include (but not exclusively) email campaigns, text messages, referral schemes.
Scheduling respondents for market research interviews, including creating the scheduler in the system, communication with respondents, coordinating shared moderator schedules, manual entry in MR system and moderator scheduling platforms.
Help respondents log in to qualitative platforms for their interviews and troubleshoot any issues.
Qualifications
Exceptional written and verbal communication skills, with demonstrated knowledge of English grammar rules
Strong Microsoft Office skills (Excel) and quick learner of new technologies/software
Interest / natural curiosity or previous experience /exposure within the healthcare space
Exhibit strong critical thinking skills and take initiative to improve skills and troubleshoot proactively with PM using all available resources to support project success.
Ability to work autonomously and in a team environment to successfully meet study specific and departmental objectives.
Self-motivated and able to (re)prioritize tasks throughout the workday.
Exceptional time management, organizational skills, attention to detail and ability to multitask.
Fluent in English

Qualifications

Any Graduation - Completed"
Almabase,Technical Support Engineer,Bengaluru,"The Company:
Our mission is to make education affordable by helping institutions increase alumni giving. The idea started from our founders’ own struggle with the lack of scholarships when they were students. Watch this TEDx talk from Kalyan to learn more.
We are a bootstrapped company that has grown to be a leader in the alumni software space in the US. We’re slated for even faster growth on the path to becoming market leaders through a unique strategic partnership with Blackbaud (read more here & here)
Our customers are universities and high schools and in most cases, we’re working with staff in the alumni relations and fundraising office at these institutions. The value prop for them at a high level is simple - “Engage more alumni and raise more money from them”. 90%+ of our customers are from the US currently but we’re starting sales in UK and Canada this year so we’ll start to see some more customer regions this year. Our team is based in India and the USA. The India team is based in Bangalore and the US team is fully remote.
The Opportunity
While a small team of engineers built a product that helped us scale until this point, the company's growth from here is based on a multi-product strategy. The way we're scaling our product team is in line with the company's strategy. After all, we're big believers in Conway's law.
We have grown from 100 to 300 customers within a couple of years. As our primary focus is to provide a seamless experience to our customers, we are looking to hire a support engineer. This individual will assist us with the implementation journey for new customers and serve as a liaison with the engineering team, resolving technical queries passed on by the Customer Support team. As the first point of contact at Almabase, you will be responsible for setting a high standard for customer satisfaction.
Responsibilities
Implementation: Handle implementation for customers. Set up their site, help them set up data from their CRM to Almabase, help them set up payment gateways, and also train them on how to move data between Almabase and Raiser’s Edge.
Tech Support: Handle technical inquiries, troubleshoot, and resolve issues in a timely and effective manner. (L2 support requests)
Product Knowledge: Maintain an in-depth understanding of the product, its features, and updates to assist users effectively.
Documentation: Create and maintain support documentation, guides, and FAQs to facilitate self-service for customers.
Feedback Loop: Liaise with the product and development teams, providing feedback and insights from customers to improve the product.
Continuous Improvement: Identify patterns in support requests and work on strategies to reduce frequently encountered issues.
Training: Provide training sessions for customers, partners, and internal teams.
Collaboration: Work closely with other teams (like sales, and customer success) to ensure seamless customer experience.
Escalation Management: Identify critical issues and escalate them appropriately to ensure they are addressed promptly.
Work Timings:
9:00 AM EST to 5 PM EST
Requirements
1-3 years of experience in technical support, IT support for software/ web applications.
Strong problem-solving skills and technical aptitude.
Excellent written and verbal communication skills.
What does your 1st year look like at Almabase?
First Month
Learn all aspects of products and critical workflows for each of the products as part of your training.
Knowing different areas where customers get stuck today and need technical support.
Know what is covered during the implementation call and start getting training on those aspects.
Get looped into a couple of kick-off calls with the customers.
Knowing current technical support metrics like Average response time, Average Resolution time, and Customer Effort Score for technical setup.
By the 3rd Month
You’ll have been implemented at least 7-10 customers by now
You’ll have been well versed with domain setup, database integrations, payment gateway setup etc
You’ll have started gaining knowledge on the product and started contributing in some way towards L2 support tickets
By the 6-12 Month
You’ll have been well-versed in the implementation process by now
You’ll have set up a robust framework and processes to loop back continuous improvement feedback to the product roadmap
You’ll have optimised a lot of areas where technical implementation would have become self-served by now
You’ll have been well versed with Almabase products and would become a point of contact for the support team for L2 requests.
Benefits:
This is what our team members enjoy the most at Almabase:
Strong Culture: We have a culture that we’re proud of. Read more on how our team feels about the company on Glassdoor (here). When you work at Almabase you get to work with amazing people that will help you grow to become the best version of yourself.
Transparency & Trust: An environment that trusts each individual’s ability and creativity to achieve the best outcome for the team. High levels of transparency to help you get exposure to what’s happening across the business.
Great Salary & Equity: Along with competitive salaries, our top performers and leaders get stock options. As Almabase continues to grow, you’ll have a real opportunity to create wealth for yourself and your family.
More than just work: One big secret to our success (shhh… this is just between us) is finding the balance between work and play. We have plenty of activities throughout the year that help build esprit de corps – whether they are intense cricket/football/basketball matches, or fun-filled music/dance/trivia/game nights."
Ibis Educational Services (www.ibisacademy.in),Soft Skills Trainer / Placement Trainer,Bengaluru,"About us
Ibis Academy is the first mover in continuing education and training sector in India with unique quality standards and accreditations unlike any other institution in India. Ibis is accredited by IACET, a premier accreditation body based in USA. IACET is a standards development organization of American National Standards Institute (ANSI) giving the accreditation a global authenticity and recognition. Ibis is spread across India in 10 branches and offering over twenty (20) courses in over seven (7) industries. Ibis has won several awards and accolades and was awarded as one of the top sixteen academies in India by National Skill Development Corporation (NSDC).
Job Description
Schedule appropriate training sessions.
Oversee and direct seminars, workshops, individual training sessions, and lectures.
Plan and implement an effective training curriculum.
Prepare hard copy training materials such as module summaries, videos, and presentations.
Train and guide students
Assist in student placements.
Job Types: Full-time, Permanent
Pay: ₹30,000.00 - ₹40,000.00 per month
Schedule:
Day shift
Ability to commute/relocate:
Bangalore, Karnataka: Reliably commute or planning to relocate before starting work (Required)
Experience:
total work: 3 years (Preferred)
Work Location: In person"
"EIDIM Group, Inc.",E-Commerce Specialist,Bengaluru,"About Us:
EIDIM stands for ""Everything Is Done In the Maker."" The firm was established in September 1999, pursuing the motto ""Spirituality & Competency Combined."" The company was founded by Andrew Bang, together with Rex S. Kim, and David J. Kim which is currently located in California, USA. Their knowledge and expertise in the Audio-Visual industry enabled them to conceptualize EIDIM Group Inc., through which their plethora of knowledge could be offered to others in need. EIDIM specializes in all aspects of the audiovisual world, such as consultation, design, installation, integration, and more.
BRIEF RESPONSIBILITIES
Detailed maintenance and improvement of listings (title, description, images, reviews, prices, product specs, customer questions, etc.)
To increase product ranking
Drive traffic and execute marketing campaigns to increase revenue
Pull and scrub reports from different platforms, present findings, and provide recommendations for areas of growth
Compare past and current sales trends to determine future inventory demand
Replenish inventory to third party warehouses as necessary
Continually price check against competitors, update online inventory, and recommend
Other initiatives as assigned
QUALIFICATIONS
2 years of experience with e-Commerce marketplace, eBay, Amazon, and Shopify
Proficient to use Excel for data manipulation and analytics
Excellent communicator, team player and a self-starter with the ability to take initiative in supporting business goals
Ability to work under pressure, managing conflicting priorities to meet deadlines
Proactive and resourceful in solving problems, making decisions and executing goals
Search Engine Optimization (SEO) know-how
Pay-per-Click (PPC) understanding
Experience in Web Development
Experience with WordPress
Experience with Elementor Pro
Details:
Competitive starting salary
3 months Probationary Employee
Benefits after Regularization
Follows US Business Time (Pacific Time)/ Graveyard in IST
Job Type: Full-time
Benefits:
Work from home
Schedule:
Fixed shift
Monday to Friday
US shift
Supplemental pay types:
Yearly bonus
Application Question(s):
Have you had experience in Shopify?
Do you have the necessary equipments (Laptop/Computer, Headset, Stable Internet conncetion) for a WFH set-up?
Salary expectation (monthly)
Education:
Bachelor's (Required)
Experience:
E-commerce: 2 years (Preferred)
Language:
English (Required)
Location:
Bengaluru, Karnataka (Required)
Work Location: In person"
cloudsek,Business Development Representative - USA,Bengaluru,"WHO ARE WE?
We are a bunch of super enthusiastic, passionate, and highly driven people, working to achieve a common goal! We believe that work and the workplace should be joyful and always buzzing with energy!
CloudSEK, one of India’s most trusted Cyber security product companies, is on a mission to build the world’s fastest and most reliable AI technology that identifies and resolves digital threats in real-time. The central proposition is leveraging Artificial Intelligence and Machine Learning to create a quick and reliable analysis and alert system that provides rapid detection across multiple internet sources, precise threat analysis, and prompt resolution with minimal human intervention.
Founded in 2015, headquartered at Singapore, we are proud to say that we’ve grown at a frenetic pace and have been able to achieve some accolades along the way, including:
Launch of our first product in 2016.
Earning our pre-series A funding in 2018.
Receiving multiple awards including the prestigious Excellence Award for being the Security Product Company of the Year in 2020.
Receiving the Series A funding from MassMutual Ventures in 2021 with a total investment of $10million.
CloudSEK’s Product Suite:
CloudSEK XVigil constantly maps a customer’s digital assets, identifies threats and enriches them with cyber intelligence, and then provides workflows to manage and remediate all identified threats including takedown support.
A powerful Attack Surface Monitoring tool that gives visibility and intelligence on customers’ attack surfaces. CloudSEK's BVigil uses a combination of Mobile, Web, Network and Encryption Scanners to map and protect known and unknown assets.
CloudSEK’s Contextual AI SVigil identifies software supply chain risks by monitoring Software, Cloud Services, and third-party dependencies.
Develop and manage sales pipeline, prospect and assess sales potential; create detailed prospecting lists using various methods to identify and win new enterprise customers
Gather sales intelligence around prospect’s situation, needs and decision process.
Building and maintaining strong relations with Account Managers and Sales Engineers to strategically penetrate key accounts.
Use sales skills to set up qualified appointments on targeted and territory accounts.
Working closely with Marketing to drive traffic to online campaigns or in-person events
Using efficient and structured processes to timely follow up leads coming from trade shows, events, campaigns and other activities/sources.
Be part of those marketing events qualifying in person the target audience.
Being able to articulate the right value selling message to the right persona and industry.
Align to our Channel network to leverage their skills and knowledge of the market.
Maintain accurate lead/account/opportunities information and notes in our CRM and manage sales prospecting activities
Meet or exceed individual performance objectives outlined and communicated on a quarterly basis
Provide ongoing feedback to Sales Management on ways to improve processes to increase results
Skills
Strong collaboration skills, ability to adapt to a dynamic start-up environment with a passion for making an impact
Excellent written and oral communication skills in English
Strong critical thinking, and analytical skills with an entrepreneurial and proactive mind-set
Ability to effectively prioritize tasks and manage time, even under high-pressure situations
Requirements
At least 2-6 years of both inbound and outbound sales experience.
Experience in SAAS Sales
Experience in USA/Market
Interest and ability to learn technical concepts quickly
The desire for a successful career in sales/business development
EQ: Self-aware, hard-working, personable, and humble

Benefits of Joining CloudSEK
We provide an environment where you can develop and enhance your skills while delivering meaningful work that matters. You’ll be rewarded a competitive salary as well as a full spectrum of generous perks and incentives which include:
Flexible working hours.
Generous medical insurance cover for yourself and your family/dependents.
Food, unlimited snacks and drinks are all available while at office.
And, the finest part is yet to come! Every now and then we ensure to unwind and have a good time together, which involves games, fun, and soulful music. Feel free to show off your artistic side here!"
